quarantine,cooldown,reward,trigger,mean,median,p95,p99,p999,max,sticking_rate,decay_rate,timeout_rate
0.94,0.95,0.015,50,30.522,22.0,94.0,116.02999999999997,133.00599999999986,139,0.326,0.643,0.031
0.94,0.95,0.03,120,31.365,22.0,97.0,117.00999999999999,133.00199999999995,135,0.354,0.613,0.033
0.94,0.95,0.03,80,31.286,23.0,94.0,118.0,132.0,132,0.341,0.631,0.028
0.94,0.95,0.015,160,32.118,23.0,92.0,118.00999999999999,131.00299999999993,134,0.341,0.626,0.033
0.94,0.95,0.03,160,31.765,23.0,94.04999999999995,115.00999999999999,130.0039999999999,134,0.321,0.652,0.027
0.94,0.95,0.0,50,32.133,22.0,102.0,121.0,129.0039999999999,133,0.328,0.635,0.037
0.94,0.95,0.0,120,32.643,23.0,95.04999999999995,118.0,129.0,129,0.338,0.629,0.033
0.94,0.95,0.0,160,32.88,23.0,101.0,119.0,128.00599999999986,134,0.326,0.637,0.037
0.94,0.95,0.015,120,32.44,23.0,102.04999999999995,120.0,128.00499999999988,133,0.329,0.626,0.045
0.94,0.95,0.005,120,32.155,23.0,99.0,117.0,126.00499999999988,131,0.363,0.601,0.036
0.94,0.95,0.03,50,32.663,24.0,101.04999999999995,113.0,125.00299999999993,128,0.291,0.665,0.044
0.9,0.95,0.03,50,28.676,21.0,85.0,104.00999999999999,122.00499999999988,127,0.286,0.679,0.035
0.9,0.95,0.005,50,28.224,20.0,86.0,103.00999999999999,117.01099999999974,128,0.279,0.681,0.04
0.9,0.95,0.015,80,27.499,20.0,82.0,103.0,115.00499999999988,120,0.279,0.683,0.038
0.9,0.95,0.005,160,26.649,20.0,80.0,98.04999999999995,114.00599999999986,120,0.293,0.676,0.031
0.9,0.95,0.015,120,27.554,20.0,82.0,98.00999999999999,114.00099999999998,115,0.29,0.679,0.031
0.9,0.95,0.0,50,26.828,20.0,79.0,100.01999999999998,113.00799999999981,121,0.299,0.67,0.031
0.9,0.95,0.015,50,26.682,20.0,77.04999999999995,101.0,113.00099999999998,114,0.332,0.639,0.029
0.9,0.95,0.005,120,28.914,22.0,83.04999999999995,102.00999999999999,112.00799999999981,120,0.292,0.664,0.044
0.9,0.95,0.03,80,29.393,22.0,85.04999999999995,103.01999999999998,111.01199999999972,123,0.31,0.645,0.045
0.9,0.95,0.03,120,27.636,20.0,84.0,104.00999999999999,111.00899999999979,120,0.272,0.688,0.04
0.9,0.95,0.005,80,27.018,19.0,81.0,100.0,110.01199999999972,122,0.32,0.64,0.04
0.9,0.95,0.015,160,26.927,19.0,81.04999999999995,102.01999999999998,110.00899999999979,119,0.317,0.658,0.025
0.9,0.95,0.0,80,27.913,20.0,82.0,99.00999999999999,110.0,110,0.29,0.672,0.038
0.9,0.95,0.03,160,27.905,20.5,83.0,97.00999999999999,109.00099999999998,110,0.305,0.66,0.035
0.9,0.95,0.0,120,26.916,20.0,83.0,100.0,107.00599999999986,113,0.321,0.642,0.037
0.9,0.95,0.0,160,29.02,21.0,83.04999999999995,98.00999999999999,106.0039999999999,110,0.317,0.648,0.035
0.94,0.9,0.0,50,19.138,14.0,54.049999999999955,65.0,88.00099999999998,89,0.239,0.709,0.052
0.99,0.9,0.015,80,20.975,16.0,58.049999999999955,71.00999999999999,86.00099999999998,87,0.245,0.708,0.047
0.97,0.9,0.0,80,20.344,15.0,58.0,67.00999999999999,84.0,84,0.232,0.713,0.055
0.99,0.9,0.015,160,22.089,17.0,59.0,72.0,83.0,83,0.219,0.735,0.046
0.97,0.9,0.03,50,20.668,15.0,58.049999999999955,69.0,82.00899999999979,91,0.212,0.727,0.061
0.97,0.9,0.03,80,19.86,14.0,57.0,68.00999999999999,82.00799999999981,90,0.242,0.704,0.054
0.97,0.9,0.0,160,19.738,15.0,54.0,69.0,82.00599999999986,88,0.226,0.721,0.053
0.99,0.9,0.03,120,19.955,14.0,59.0,72.02999999999997,82.00199999999995,84,0.225,0.717,0.058
0.99,0.9,0.03,50,21.101,16.0,61.0,73.0,81.00199999999995,83,0.238,0.714,0.048
0.99,0.9,0.03,80,21.086,16.0,57.0,73.0,81.00099999999998,82,0.236,0.718,0.046
0.99,0.9,0.015,50,20.702,14.0,60.0,71.00999999999999,80.00699999999983,87,0.249,0.716,0.035
0.99,0.9,0.015,120,21.741,17.0,61.0,72.00999999999999,80.0039999999999,84,0.228,0.714,0.058
0.99,0.9,0.0,50,20.467,15.0,60.0,73.00999999999999,80.00299999999993,83,0.223,0.736,0.041
0.99,0.9,0.005,80,20.864,16.0,59.0,68.0,79.00899999999979,88,0.251,0.706,0.043
0.99,0.9,0.005,50,20.864,15.0,59.049999999999955,72.0,79.0039999999999,83,0.236,0.716,0.048
0.99,0.9,0.03,160,20.324,15.0,58.049999999999955,69.0,79.00299999999993,82,0.244,0.709,0.047
0.99,0.9,0.005,120,20.418,15.0,56.0,70.00999999999999,79.00099999999998,80,0.266,0.696,0.038
0.97,0.9,0.015,160,19.548,15.0,55.049999999999955,67.00999999999999,78.0039999999999,82,0.225,0.723,0.052
0.99,0.9,0.0,80,21.317,16.0,61.0,70.01999999999998,78.0039999999999,82,0.255,0.69,0.055
0.97,0.9,0.005,50,20.917,15.0,57.0,68.0,78.00199999999995,80,0.218,0.729,0.053
0.97,0.9,0.03,120,21.324,16.0,60.0,70.0,77.01199999999972,89,0.227,0.704,0.069
0.94,0.9,0.0,80,18.431,13.0,53.0,67.00999999999999,77.00599999999986,83,0.213,0.728,0.059
0.94,0.9,0.015,50,19.274,15.0,53.0,66.00999999999999,77.0039999999999,81,0.203,0.747,0.05
0.94,0.9,0.03,160,18.993,14.0,55.0,68.0,77.00099999999998,78,0.209,0.736,0.055
0.99,0.9,0.005,160,21.111,16.0,61.049999999999955,72.00999999999999,77.00099999999998,78,0.232,0.714,0.054
0.97,0.9,0.015,120,20.094,15.0,55.0,71.0,76.00899999999979,85,0.221,0.731,0.048
0.97,0.9,0.005,80,20.154,15.0,55.049999999999955,70.0,76.00899999999979,85,0.233,0.719,0.048
0.97,0.9,0.005,160,20.106,15.0,56.0,68.0,76.00299999999993,79,0.204,0.741,0.055
0.94,0.9,0.03,50,18.721,14.0,54.0,65.00999999999999,76.00199999999995,78,0.2,0.743,0.057
0.99,0.9,0.0,120,20.451,15.0,59.049999999999955,70.0,76.00099999999998,77,0.212,0.748,0.04
0.97,0.9,0.015,50,19.622,14.0,58.0,69.00999999999999,75.00699999999983,82,0.227,0.726,0.047
0.94,0.9,0.005,80,18.662,14.0,53.0,66.0,75.00299999999993,78,0.217,0.725,0.058
0.99,0.9,0.0,160,22.013,17.0,61.0,71.0,75.00099999999998,76,0.231,0.708,0.061
0.94,0.9,0.015,120,19.305,14.0,55.0,66.0,74.00599999999986,80,0.229,0.713,0.058
0.94,0.9,0.03,80,18.957,14.0,52.0,65.0,74.00499999999988,79,0.198,0.754,0.048
0.94,0.9,0.005,50,19.011,14.0,54.0,65.0,74.00299999999993,77,0.207,0.732,0.061
0.97,0.9,0.0,120,19.452,14.0,54.049999999999955,66.0,74.00199999999995,76,0.22,0.736,0.044
0.97,0.9,0.015,80,19.969,15.0,55.0,67.0,74.00199999999995,76,0.222,0.721,0.057
0.94,0.9,0.015,160,18.073,13.0,52.0,62.0,74.00099999999998,75,0.217,0.738,0.045
0.94,0.9,0.005,120,18.292,13.0,52.049999999999955,64.00999999999999,74.00099999999998,75,0.219,0.727,0.054
0.9,0.9,0.0,50,18.795,14.0,53.0,61.0,73.00299999999993,76,0.224,0.712,0.064
0.9,0.9,0.0,160,18.094,14.0,51.049999999999955,61.00999999999999,72.00199999999995,74,0.197,0.742,0.061
0.97,0.9,0.03,160,21.063,16.0,57.0,68.00999999999999,72.00199999999995,74,0.211,0.738,0.051
0.9,0.9,0.03,80,18.614,14.0,51.0,62.0,72.00099999999998,73,0.214,0.73,0.056
0.97,0.9,0.005,120,19.161,14.0,56.049999999999955,67.00999999999999,72.00099999999998,73,0.223,0.729,0.048
0.97,0.9,0.0,50,19.458,14.0,55.0,67.00999999999999,72.00099999999998,73,0.232,0.723,0.045
0.94,0.9,0.015,80,19.704,15.0,55.0,65.0,72.0,72,0.201,0.729,0.07
0.9,0.9,0.005,80,18.042,14.0,52.0,61.00999999999999,71.00199999999995,73,0.197,0.754,0.049
0.94,0.9,0.005,160,18.703,13.0,52.0,62.00999999999999,71.0,71,0.209,0.745,0.046
0.9,0.9,0.005,120,19.059,14.0,53.0,61.0,70.00699999999983,77,0.207,0.734,0.059
0.9,0.9,0.03,160,17.102,12.0,50.0,62.0,70.0039999999999,74,0.178,0.776,0.046
0.94,0.9,0.03,120,19.049,14.0,54.049999999999955,63.0,70.00099999999998,71,0.203,0.74,0.057
0.9,0.9,0.015,50,18.538,14.0,53.0,63.0,70.0,70,0.215,0.73,0.055
0.94,0.9,0.0,160,19.397,14.0,57.0,64.00999999999999,69.00699999999983,76,0.233,0.704,0.063
0.9,0.9,0.005,50,17.745,13.0,50.0,61.0,69.00199999999995,71,0.194,0.753,0.053
0.9,0.9,0.03,120,17.886,13.0,50.0,63.00999999999999,69.00099999999998,70,0.2,0.756,0.044
0.9,0.9,0.0,120,18.959,14.0,52.049999999999955,63.0,69.00099999999998,70,0.219,0.727,0.054
0.9,0.9,0.015,160,16.562,13.0,48.0,60.01999999999998,68.00099999999998,69,0.192,0.767,0.041
0.9,0.9,0.005,160,18.523,14.0,52.0,61.0,68.0,68,0.188,0.748,0.064
0.9,0.9,0.03,50,17.574,13.0,52.0,61.00999999999999,67.00699999999983,74,0.196,0.751,0.053
0.94,0.9,0.0,120,17.552,13.0,52.0,60.0,67.0039999999999,71,0.228,0.73,0.042
0.9,0.9,0.015,80,18.217,13.0,52.0,61.0,67.00299999999993,70,0.203,0.735,0.062
0.9,0.9,0.015,120,18.202,14.0,49.0,59.0,66.00099999999998,67,0.211,0.744,0.045
0.9,0.9,0.0,80,17.954,13.0,49.049999999999955,59.0,63.006999999999834,70,0.195,0.753,0.052
0.9,0.85,0.005,80,13.783,11.0,39.0,45.00999999999999,59.000999999999976,60,0.169,0.767,0.064
0.99,0.85,0.0,80,15.385,12.0,40.0,47.0,58.00199999999995,60,0.164,0.769,0.067
0.99,0.85,0.03,80,14.483,11.0,39.0,48.00999999999999,58.00199999999995,60,0.185,0.756,0.059
0.99,0.85,0.0,120,15.737,12.0,42.0,48.00999999999999,57.003999999999905,61,0.169,0.763,0.068
0.9,0.85,0.005,160,13.529,10.0,38.0,46.0,57.00299999999993,60,0.145,0.798,0.057
0.99,0.85,0.005,120,14.623,11.0,40.049999999999955,49.0,57.00199999999995,59,0.169,0.787,0.044
0.97,0.85,0.015,80,14.801,11.0,41.0,51.0,57.000999999999976,58,0.174,0.75,0.076
0.94,0.85,0.0,160,13.985,10.0,39.0,50.00999999999999,57.0,57,0.144,0.796,0.06
0.97,0.85,0.03,160,14.589,11.0,40.0,48.0,57.0,57,0.194,0.74,0.066
0.9,0.85,0.0,50,14.294,11.0,38.0,47.0,56.00299999999993,59,0.172,0.768,0.06
0.97,0.85,0.005,50,14.562,11.0,39.049999999999955,48.00999999999999,55.006999999999834,62,0.153,0.783,0.064
0.97,0.85,0.03,50,14.774,11.0,40.0,49.0,55.00599999999986,61,0.176,0.754,0.07
0.9,0.85,0.03,80,13.14,10.0,37.0,45.00999999999999,55.00299999999993,58,0.136,0.811,0.053
0.99,0.85,0.03,120,14.58,11.0,40.049999999999955,47.0,55.00199999999995,57,0.178,0.765,0.057
0.97,0.85,0.005,120,14.406,11.0,38.0,47.0,55.000999999999976,56,0.169,0.773,0.058
0.94,0.85,0.015,120,13.872,10.0,39.0,47.0,55.000999999999976,56,0.176,0.759,0.065
0.99,0.85,0.015,80,14.665,11.0,40.0,49.0,55.000999999999976,56,0.189,0.751,0.06
0.97,0.85,0.03,120,14.63,11.0,40.0,47.0,54.00599999999986,60,0.169,0.769,0.062
0.97,0.85,0.015,50,14.425,11.0,40.0,49.0,54.00499999999988,59,0.17,0.76,0.07
0.97,0.85,0.005,160,14.488,11.0,40.0,48.0,54.003999999999905,58,0.173,0.766,0.061
