controller,unsafe_time,control_energy,position_error,motor_heat,max_abs_position,productivity,seed
GSCX,0.0311111111111111,0.498310369165325,0.3913033937560909,3.385334003034866,1.5900695700426666,0.3266415626687999,1804
PID,0.5627777777777778,0.915958618890588,1.5137561267080553,6.050269270443361,4.11901183292402,0.1599496718929762,1805
GSCX,0.0,0.3753423844547089,0.2696574464324675,2.540739639039962,1.192284671543722,0.4003426455309553,1805
PID,0.2805555555555555,0.8408410510684962,0.898482044338578,5.565217980979437,2.4526480655298863,0.2045237236830328,1806
GSCX,0.1644444444444444,0.7139207773443723,0.7031652074982903,4.660390637302963,2.2955827770591206,0.2400500929543336,1806
PID,0.2472222222222222,0.851497930037768,0.8749443634998414,5.61510365719325,2.259448376405077,0.2070712695026432,1807
GSCX,0.0,0.4122880640982794,0.284825197298813,2.7737304604657984,0.9356154982778424,0.3873091395185178,1807
PID,0.3355555555555555,0.8590188432793578,1.0184542548773634,5.672461282844362,3.0570940932097845,0.1925066236334236,1808
GSCX,0.0,0.5528363484667448,0.402082048076072,3.712653286953763,1.1987509131422684,0.3190458874333446,1808
PID,0.2816666666666667,0.8545978130184078,0.9207730034107158,5.646062541559592,2.373650200939857,0.2024272689476592,1809
GSCX,0.1088888888888888,0.6760819117018946,0.6003371908954442,4.403149144280096,1.521509759797385,0.2633533284925063,1809
PID,0.6680555555555555,0.9318691962077464,1.8571310673591304,6.1632884642020205,4.948720901571736,0.1453226804236746,1810
GSCX,0.1663888888888889,0.7350924047468506,0.7194502342444302,4.813711570288935,2.504274259322929,0.2339790075618894,1810
PID,0.2883333333333333,0.8577916714752108,0.9448550844187048,5.675550671693524,2.885253329740757,0.1981628986262302,1811
GSCX,0.2244444444444444,0.7924739839062804,0.8149337615836988,5.210189248131105,2.188059456326209,0.2191243758734896,1811
PID,0.4594444444444444,0.89463797034495,1.1847524056505214,5.925114743960019,2.8963824426249185,0.1789992613924645,1812
GSCX,0.0438888888888888,0.5187568422740514,0.4260274954778497,3.533761249969322,1.9230167033492265,0.3111834843153456,1812
PID,0.2275,0.8235984890766516,0.7939409305190354,5.417262706744875,2.1691761664895006,0.2160855169032368,1813
GSCX,0.1852777777777778,0.7476872500674885,0.7319708298135738,4.909845410701283,2.224188768656715,0.2318973131360771,1813
PID,0.3722222222222222,0.8632705318459619,1.0615877620721672,5.733848482379339,3.063950614892865,0.1885738736731586,1814
GSCX,0.0527777777777777,0.6086125506068808,0.4944382795247858,3.9730216648752537,1.3814698239960412,0.2918115211482947,1814
PID,0.1205555555555555,0.6645585148912256,0.5521815287127381,4.41903937886101,2.210997676921965,0.2604851747646811,1815
GSCX,0.2713888888888889,0.8039969512687768,0.8510798883815655,5.285522624633911,2.2460446379100483,0.2132726538236302,1815
PID,0.5397222222222222,0.8981891881648277,1.317509814517119,5.915938007310268,3.521211079426833,0.1698862435864854,1816
GSCX,0.0,0.4700757834588723,0.3358371361091949,3.176936824021604,1.1722745756615809,0.352913467810508,1816
PID,0.5094444444444445,0.905787798217078,1.2748414552466536,5.987249807017517,3.0545601970069765,0.1729667136943641,1817
GSCX,0.0,0.3707773789603386,0.261459384693729,2.492573792545261,1.135633503109101,0.4059871754609417,1817
PID,0.5658333333333333,0.9159468086989128,1.4621297020694115,6.056061427247716,4.429481724450771,0.1603203488892207,1818
GSCX,0.2402777777777777,0.8084551903048619,0.8180038469267189,5.320587784493575,2.0431225319697157,0.2168601255795888,1818
PID,0.6672222222222223,0.932311387270796,1.7846469156468905,6.157097198032982,4.116147969842862,0.1492805633125068,1819
GSCX,0.2483333333333333,0.8147489963132418,0.8603809004406586,5.369274119572161,2.1419785865740284,0.2128713629940425,1819
PID,0.5455555555555556,0.912126892331478,1.3728238648343245,6.02259717776492,3.5523614364945417,0.1666580200869493,1820
GSCX,0.2780555555555555,0.794026587180579,0.8756805053536523,5.220148437373119,2.589030475505739,0.2111329703396973,1820
PID,0.3166666666666666,0.8396959130726671,0.9238771236579112,5.532652784779451,2.602944002563856,0.2016301223344492,1821
GSCX,0.0136111111111111,0.393747001285507,0.2911010899257012,2.6500936030716047,1.419194584682135,0.3833114516641654,1821
