H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,9,0.1,0.01,0.01,0.0,0.0,13.948136542526148,55.51240409140955,141.14432897181692,269.61121402838694,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.01,0.02,0.0,12.20077302584507,53.72744170744621,139.35936603789864,267.8262510944686,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.01,0.05,0.0,11.052795010550694,52.52409483503589,138.15601834055587,266.6229033971257,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.03,0.0,0.0,0.0,13.28773191647822,55.39849914042939,142.32807708157645,272.74180648694846,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.0,0.02,0.0,11.887993406030596,53.96046277808903,140.89004014390636,271.30376954927806,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.0,0.05,0.0,10.846624186239564,52.862696398349335,139.7922729011719,270.2060023065434,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.002,0.0,0.0,13.287124782753338,55.39771629295256,142.32729405874488,272.7410234641169,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.002,0.02,0.0,11.887548020912837,53.95984357025301,140.8894207607152,271.30315016608694,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.002,0.05,0.0,10.84627810851052,52.86217923110639,139.79175555857427,270.20548496394576,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.01,0.0,0.0,13.284697126649393,55.39458585092504,142.3241629152969,272.7378923206689,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.01,0.02,0.0,11.885767006453188,53.9573673322334,140.8869438212754,271.3006732266471,-1.0000000000000009,runaway
64.0,0.1,0.3,9,0.1,0.03,0.01,0.05,0.0,10.844894145832487,52.86011097517616,139.7896866012239,270.20341600659543,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.0,0.0,0.0,0.0,14.51512954048029,55.81576706470602,140.82028582972302,268.3458847415141,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.0,0.02,0.0,12.430328003081614,53.69369130054275,138.6982095276003,266.2238084393913,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.0,0.05,0.0,11.206004248604044,52.41447662915967,137.4189940492776,264.9445929610685,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.002,0.0,0.0,14.514316439359554,55.814784541452354,140.81930314250474,268.34490205429586,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.002,0.02,0.0,12.429819919150027,53.69301562216688,138.69753368525986,266.22313259705084,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.002,0.05,0.0,11.205625038852286,52.41393246649975,137.41844972265304,264.9440486344439,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.01,0.0,0.0,14.51106553753094,55.81085601730203,140.81537396249615,268.3409728742873,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.01,0.02,0.0,12.427788244859787,53.69031363460454,138.69483104183885,266.22042995362983,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.0,0.01,0.05,0.0,11.204108606511245,52.41175628461725,137.41627288491262,264.9418717967035,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,1.0,0.01,0.0,0.0,0.0,14.038685845859414,55.60380950302259,141.23573521961816,269.7026202761882,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.0,0.02,0.0,12.256724661732251,53.78424018723924,139.41616535387848,267.88305041044845,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.0,0.05,0.0,11.095049588454678,52.567182866583,138.1991072082887,266.6659922648586,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.002,0.0,0.0,14.03796517475342,55.60291736715368,141.23484291612797,269.70172797269805,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.002,0.02,0.0,12.256239070159037,53.78358497919454,139.41550997821287,267.8823950347828,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.002,0.05,0.0,11.094681913017263,52.56664824602412,138.19857242010838,266.6654574766783,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.01,0.0,0.0,14.035083684669749,55.5993500851592,141.2312749636493,269.69816002021935,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.01,0.02,0.0,12.254297314284814,53.78096482284924,139.41288915138333,267.8797742079533,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.01,0.01,0.05,0.0,11.093211596807244,52.5645102122982,138.1964337158987,266.6633187724686,-1.0000000000000016,runaway
64.0,0.1,0.3,9,1.0,0.03,0.0,0.0,0.0,13.36383546044364,55.47460145484668,142.40417939397977,272.81790879935176,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.0,0.02,0.0,11.939025231900157,54.01149334974105,140.94107071354333,271.354800118915,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.0,0.05,0.0,10.885915545095504,52.90198646699324,139.83156296779958,270.2452923731711,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.002,0.0,0.0,13.363224679159089,55.47381495966641,142.40339272344417,272.8171221288161,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.002,0.02,0.0,11.938578487106875,54.0108727820882,140.94044997053513,271.3541793759068,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.002,0.05,0.0,10.885568786757212,52.901468619002586,139.8310449444538,270.24477434982526,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.01,0.0,0.0,13.360782438181392,55.47066993219041,142.40024699454705,272.81397639991906,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.01,0.02,0.0,11.936792035166208,54.008391106021215,140.9379675930474,271.3516969984192,-1.0000000000000009,runaway
64.0,0.1,0.3,9,1.0,0.03,0.01,0.05,0.0,10.884182102061782,52.89939764050069,139.82897326453133,270.2427026699028,-1.0000000000000009,runaway
64.0,0.1,0.3,12,0.01,0.0,0.0,0.0,0.0,14.38033810859765,55.6809756434677,140.68549440849836,268.2110933202894,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,12,0.01,0.0,0.0,0.02,0.0,12.354352325403648,53.617715633765066,138.62223386083627,266.1478327726273,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,12,0.01,0.0,0.0,0.05,0.0,11.149733643747584,52.35820603557487,137.36272345570654,264.88832236749744,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,12,0.01,0.0,0.002,0.0,0.0,14.379535060172136,55.68000317291047,140.68452177397637,268.21012068576744,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,12,0.01,0.0,0.002,0.02,0.0,12.35384657293804,53.61704228685637,138.621560349963,266.147159261754,-0.9999999999999996,stable_acceleration
