mode,survived,peak,minT,maxD,unsafe,energy,yield,ype,RECOVERY_frac
gscx,True,0.5666735632865865,0.8922408549321471,1.0353938823108726,0.0,21.36498857171107,93.03343832536481,4.159780275633163,0.0
pid,False,1.4069004259403637,0.0,1.0,71.43400000001492,646.9418539718263,9.821462039450363,0.015157937366209127,
gscx,True,0.6835483046363539,0.7315715037061543,1.086728428686819,0.0,51.09590565705102,76.20189462035121,1.4627232919606135,0.0
pid,False,1.160953527610142,0.0,1.0,81.03199999999255,626.1655041140056,6.477066637094387,0.01032752374709211,
gscx,True,0.4788486940173209,0.9398238893851586,1.0182356678436588,0.0,14.126645345876453,99.95766042020837,6.608052091831253,0.0
pid,False,1.3527809230891257,0.0,1.0,74.27000000000831,654.2803365281001,5.982095019095646,0.00912906230452578,
gscx,True,0.6596372171531516,0.7179857586051177,1.098104565060841,0.0,46.91595136241578,70.97067176749358,1.481149173700043,0.0
pid,False,1.4968942524172433,0.0,1.0,70.56400000001695,622.0995931482256,9.330062058816551,0.014973628873156841,
gscx,True,0.7280593602982905,0.8877579150598996,1.0446726359375127,0.0,29.679969035796226,97.34479402246367,3.1729104390192004,0.0
pid,False,1.3012342878051508,0.0,1.0,65.75800000002815,641.9553935168941,9.250003418188308,0.014386695424688522,
gscx,True,0.5941123972313113,0.8131989609280009,1.0604452212208897,0.0,35.854692238078826,81.64591444244503,2.21534652670596,0.0
pid,False,1.3299968668088222,0.0,1.0,73.51400000001007,645.5169562543466,8.04112722015442,0.012437612258062657,
gscx,True,0.6432828138273187,0.8153191518589767,1.0533629693374178,0.0,28.585088240845415,81.52908640948698,2.75574930673782,0.0
pid,False,1.6335927524696856,0.0,1.0,67.86800000002323,633.9885294336608,10.413088537449152,0.016398860853024336,
gscx,False,0.9479500752171311,0.6725682154647162,1.1070906897051471,1.370000000000001,59.71526676324513,77.81810506690137,1.2816892556916126,0.0
pid,False,1.2622750243901073,0.0,1.0,80.77599999999315,664.2914747220537,5.395475865274331,0.008109942890112125,
gscx,True,0.5950153445028428,0.8096036974322804,1.0738657760339616,0.0,38.710674506828916,75.13278472041432,1.8920047481815998,0.0
pid,False,1.3478954770019422,0.0,1.0,75.58600000000524,647.5751081341484,6.972008572367952,0.010749731966164036,
gscx,False,0.9018152886144182,0.609765621636677,1.113392659953588,1.0100000000000007,59.511571892247666,62.64586283946006,1.0352707900401745,0.1242
pid,False,1.3154128730754082,0.0,1.0,78.02399999999956,644.5073000027852,8.523697669314975,0.013204649535765433,
gscx,True,0.6086505267104121,0.8918941767496736,1.0330820023910845,0.0,23.926397894691018,87.13625423857674,3.4957419281642603,0.0
pid,False,1.2756052298366112,0.0,1.0,77.0640000000018,649.5493460796789,5.473260802645196,0.008413290760536457,
gscx,True,0.6267131856559744,0.885719566599113,1.0374332213117161,0.0,28.440311405621028,83.56477177440391,2.8384472780559284,0.0
pid,False,1.515084502732777,0.0,1.0,72.21800000001309,639.2782385615833,10.19607565424881,0.015924445093050167,
gscx,False,1.1665581116251726,0.5863950625192703,1.1254412960132134,3.4679999999998397,70.34528524494905,61.70841381848671,0.8649263032115413,0.301
pid,False,1.3688206056789218,0.0,1.0,78.09599999999939,644.008498943907,5.8321139534566395,0.009041917994888047,
gscx,True,0.6593113751867216,0.8964222363639182,1.053330229478717,0.0,36.08566461886112,83.26832080688511,2.245296711348037,0.0
pid,False,1.2549294168004343,0.0,1.0,70.3260000000175,646.5387261789729,10.605417907487984,0.016378044244656897,
gscx,True,0.5635467002650238,0.8037827514135341,1.070156650774953,0.0,40.84038228312781,79.20652923809038,1.8930641862235214,0.0
pid,False,1.2908263489898284,0.0,1.0,84.47199999998453,641.9639969292384,4.383082556374345,0.0068169953174792245,
gscx,True,0.6324642378711094,0.7919662042282823,1.0648787574265606,0.0,32.28966649978308,78.41145739393595,2.3554293460538838,0.0
pid,False,1.2419558393119952,0.0,1.0,69.19000000002015,659.9294423964218,7.639153524030001,0.011558198249319447,
gscx,True,0.5564833134257732,0.6967003838940223,1.099178228359206,0.0,42.81521624784871,69.86995265938458,1.5946504124081582,0.0
pid,False,1.1911763875103585,0.0,1.0,70.82000000001635,623.7464690453514,9.449736560648995,0.01512571423587033,
gscx,True,0.5583899170206122,1.0,1.015536824229297,0.0,22.515126696342833,98.99539892990863,4.209860325579483,0.0
pid,False,1.3625108699210167,0.0,1.0,78.50799999999843,641.6761946944008,7.001911013059098,0.010894928224918271,
gscx,True,0.6999148758278901,0.885316523430705,1.0504874079700726,0.0,31.711333960600292,85.16221251796337,2.6034466408657746,0.0
pid,False,1.277826278099803,0.0,1.0,79.32999999999652,647.2663160378797,7.348266675984484,0.011335259127600743,
gscx,True,0.5412741422570997,0.8247336792270583,1.0548300949571958,0.0,34.351565367232645,78.2743361294216,2.2141688866194893,0.0
