H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,4,1.0,0.0,0.0,0.05,0.0,11.205681026789259,52.41416555496403,137.41868300006226,264.9442819118532,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.0,0.05,1e-05,11.205656589219988,52.41385667016389,137.41775225292963,264.6392397142963,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.002,0.0,0.0,14.514049378599307,55.81452903894605,140.81904766495796,268.3446465767491,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.0,1e-05,14.514017713659062,55.81421134388428,140.81810810753888,268.03959556890567,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.002,0.02,0.0,12.42949741955422,53.69270492053918,138.6972230086009,266.22282192039194,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.02,1e-05,12.429469388493217,53.692391504726366,138.696287730442,265.9177751918088,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.002,0.05,0.0,11.205301825661515,52.413621402394824,137.4181386835311,264.94373759532203,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.002,0.05,1e-05,11.205277390544667,52.41331252302971,137.41720794183792,264.6386954032046,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.01,0.0,0.0,14.510798470124982,55.81060051419652,140.81511848436173,268.34071739615285,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.0,1e-05,14.510766821448744,55.810282847820005,140.81417895564184,268.03566641700866,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.01,0.02,0.0,12.427465780744168,53.690002974429646,138.69452040664456,266.2201193184356,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.02,1e-05,12.427437762351701,53.68968958350391,138.6935851533872,265.915072614754,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.0,0.01,0.05,0.0,11.203785427812775,52.41144526087096,137.41596188616094,264.94156079795187,-0.9999999999999997,stable_acceleration
64.0,0.1,0.3,4,1.0,0.0,0.01,0.05,1e-05,11.2037610025014,52.41113640324028,137.41503116621595,264.63651862758263,-1.077639661071607,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.0,0.0,14.038407410481494,55.60354303463927,141.23546877680883,269.7023538333789,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.0,1e-05,14.038376661828208,55.60322060730345,141.23451061568366,269.3909195351121,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.02,0.0,12.256402557665563,53.78393029056,139.41585548278306,267.88274053935305,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.02,1e-05,12.256375140497807,53.78361185045123,139.41490130889693,267.5713102283253,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.05,0.0,11.094728112688728,52.566873950310715,138.1987983176146,266.6656833741845,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.0,0.05,1e-05,11.094704100738056,52.56655987109334,138.1978485046383,266.3542574240667,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.0,0.0,14.037686741035948,55.60265090195587,141.23457647650704,269.7014615330771,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.0,1e-05,14.037655996198511,55.602328481608005,141.23361832237384,269.3900272418023,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.02,0.0,12.255916975099737,53.78327509302923,139.41520011763404,267.882085174204,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.02,1e-05,12.255889560964608,53.78295665907387,139.41424594990502,267.57065486933334,-1.0786406851968133,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.05,0.0,11.094360445794287,52.566339339774586,138.19826353946024,266.6651485960301,-1.0000000000000016,runaway
64.0,0.1,0.3,4,1.0,0.01,0.002,0.05,1e-05,11.094336436216821,52.56602526597756,138.19731373190794,266.35372265133634,-1.0786406851968133,runaway
