A,a_t,n,k,present_age_Gyr,time_to_a2_Gyr,time_to_a10_Gyr,time_to_a100_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,bh_feed_final,bh_sector_today,fate
0.1,0.5,4,0.3,13.73805841144197,24.881824779226523,52.951456630952165,93.32007691071597,133.69003580413664,254.76291378512428,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,4,1.0,13.781780105357141,24.925067144765983,52.99453609104377,93.3631549673112,133.73311385932996,254.80599184031624,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,6,0.01,13.535397967054475,24.67947606998178,52.74916884527684,93.11778960141675,133.48774849531333,254.56062647630137,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,6,0.03,13.543557730767532,24.687606800121216,52.757291245903524,93.12591193193899,133.49587082576528,254.5687488067533,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,6,0.1,13.609172436956593,24.752991752393413,52.82261028161722,93.19123041286939,133.56118930614173,254.6340672871293,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,6,0.3,13.734345630793078,24.877744372676744,52.94724223032838,93.3158613459302,133.68582023818803,254.7586982191745,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,6,1.0,13.781365587125984,24.92461212549381,52.99406630991063,93.36268505792235,133.7326439498128,254.80552193079896,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,9,0.01,13.532089161117343,24.675440276206935,52.74492018204398,93.11353914530139,133.48349803740717,254.55637601839354,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,9,0.03,13.540335022014077,24.68368191907054,52.753160761095934,93.12177971544187,133.49173860753857,254.56461658852496,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,9,0.1,13.60669347610677,24.75000700673554,52.81947743352261,93.18809631737655,133.55805520940285,254.63093319038913,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,9,0.3,13.733539002727163,24.876791512257686,52.94624654893967,93.31486530387423,133.6848241957718,254.75770217675793,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,9,1.0,13.781272983649295,24.924503428234498,52.993952899871346,93.36257160818865,133.73253050003945,254.80540848102558,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,12,0.01,13.532834934686665,24.67607922093913,52.745531906092374,93.11415064131418,133.484109533192,254.55698751417813,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,12,0.03,13.541042199754575,24.68428591953785,52.75373847130862,93.12235720541385,133.49231609729043,254.56519407827656,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,12,0.1,13.607125672834878,24.75036491181712,52.81981640852432,93.18843513379561,133.55839402566335,254.63127200664948,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,12,0.3,13.733619826112252,24.87685087149306,52.94630043890596,93.31491914802274,133.6848780398744,254.75775602086057,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.5,12,1.0,13.781279996030852,24.92450807895049,52.993956948810926,93.36257565208692,133.73253454393276,254.80541252491892,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,4,0.01,13.534931259627193,24.686400386471167,52.758782411935634,93.12742649411342,133.4973854113154,254.57026339232695,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,4,0.03,13.543059502346203,24.694251702889176,52.76653524532061,93.13517847568386,133.505137392035,254.57801537304584,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,4,0.1,13.608537600643206,24.757527410621563,52.82902752302335,93.19766397647805,133.56762288605813,254.64050086706223,-1.0,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,4,0.3,13.734008390810148,24.878915527669818,52.9489624381298,93.31758631743402,133.6875452144512,254.7604231954424,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,4,1.0,13.781322065652652,24.92473515613701,52.994249970745834,93.36286924483178,133.732828137248,254.80570611823464,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,6,0.01,13.485234057503064,24.634108260218575,52.70521094679974,93.07384357443732,133.4438024801944,254.5166804611948,-1.0,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,6,0.03,13.494980048223438,24.64366299075254,52.714709689296356,93.08334184563682,133.45330075092295,254.52617873192304,-1.0,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,6,0.1,13.573447728185982,24.720613386396302,52.79121584315821,93.15984425971571,133.52980316126582,254.6026811422616,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,6,0.3,13.723608030998044,24.8679787919422,52.937762548960556,93.30638407230705,133.67634296697048,254.74922094795912,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,6,1.0,13.780166785746884,24.92352048211894,52.99300618870089,93.36162520219303,133.7315840943489,254.80446207533532,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,9,0.01,13.449890090617753,24.59555103959267,52.66561683597754,93.0342407068026,133.40419960381084,254.47707758480203,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,9,0.03,13.46078985984916,24.606367901584886,52.676412680409875,93.04503637519957,133.41499527203212,254.48787325302314,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,9,0.1,13.548513580248654,24.693435128405586,52.76331346700243,93.13193576771532,133.50189466315524,254.5747726441449,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,9,0.3,13.716228152842309,24.85994604472982,52.92951915428484,93.29813889829363,133.6680977911791,254.7409757721663,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,9,1.0,13.779347447812237,24.92262912948708,52.99209160126653,93.36071041848537,133.730669310445,254.80354729143122,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,12,0.01,13.436844931157289,24.580996884763355,52.65066360238624,93.0192841296809,133.38924302334877,254.46212100433667,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,12,0.03,13.448167625089713,24.592288018045544,52.66194729452095,93.03056775951326,133.4005266531189,254.47340463410674,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,12,0.1,13.539291397071047,24.683162052572182,52.75276244567464,93.12138241765143,133.49134131076443,254.56421929175187,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,12,0.3,13.713489121960516,24.856902688565132,52.926395299368465,93.29501436889166,133.66497326110368,254.73785124209013,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.1,0.7,12,1.0,13.779042961347344,24.922291130523494,52.991744737359056,93.36036348029856,133.7303223721839,254.80320035317007,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,4,0.01,13.508901009106317,24.652873383227664,52.722571381871404,93.09119222844127,133.4611511224281,254.5340291034162,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
