controller,seed,survived,collapse_time,peak_A,min_temp,max_density,unsafe_time,control_energy,fusion_yield,yield_per_energy
PID,75,0,8.749,1.5505754334413515,0.8747079301296872,1.0713583717186677,0.6240000000000004,5.237821041882645,5.093964067880077,0.9725349579863851
PID,76,0,18.435,1.5511438137292604,0.578111259059303,1.2647078555611295,10.078999999999853,12.119237640617655,6.579620227968114,0.542907105424981
PID,77,0,8.551,1.5505770509636825,0.7953793104698842,1.1264608305436052,4.301999999999771,5.010898596802971,3.2353787500744446,0.6456683740303579
PID,78,0,8.473,1.5506355425081968,0.7992191682024412,1.1203947899676698,3.5459999999997205,5.395531270239232,2.947696606622595,0.5463218464389653
PID,79,0,8.425,1.5504609789684825,0.7602612463939326,1.151033783663252,5.6110000000002085,4.822871197268958,2.6510482907843014,0.5496825815576052
PID,80,0,8.467,1.550173057826299,0.7810878733288886,1.1363152767704892,5.1290000000000475,4.717813608927912,2.8094558640066887,0.5954995462505389
PID,81,0,8.47,1.5502772232320825,0.845319461890141,1.0860913801953243,1.9519999999998958,5.238227623948808,4.190882824275477,0.8000574095549033
PID,82,0,8.855,1.5501331171163755,0.8856859721092625,1.063282646030446,0.8170000000000006,5.780341997589308,5.7270682429824955,0.9907836325913217
PID,83,0,8.434000000000001,1.5501120326755442,0.7644080175925726,1.1445635289713307,5.5690000000001945,5.583642775059105,2.3749161416562843,0.4253345417868016
PID,84,0,8.655,1.550839296512309,0.841653645889491,1.0930884873656297,1.4469999999999514,5.23346187997588,4.146819421780724,0.7923664136839895
PID,85,0,8.505,1.5514093638520154,0.7389745702576578,1.1653600495216532,6.708000000000575,5.557616495892311,1.8524199255221814,0.33331193805078335
PID,86,0,8.755,1.5500868849267881,0.8514308428366367,1.0845783161072053,2.0319999999998872,6.047090427744535,4.9060750225508665,0.8113116680428806
PID,87,0,8.619,1.5503369810348522,0.7941223500053363,1.127664888371666,4.245999999999753,5.426867537311065,3.173169100395135,0.584714677112366
PID,88,0,8.422,1.550195148867858,0.755894588641043,1.1525030277581394,5.684000000000233,5.139112379603335,2.303335331893137,0.4481971129074091
PID,89,0,8.864,1.550572103170265,0.8861796643476826,1.0659143515897247,0.7660000000000006,5.162020199053953,5.69591184654329,1.1034268805232024
PID,90,0,8.516,1.550269237723449,0.7489119884904744,1.1577445724430269,5.783000000000266,5.689677549507698,2.3430126881426356,0.4118006103761654
